,AGGLOMÉRATION DE MONTRÉAL,Ville de Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges–Notre-Dame-de-Grâce,Lachine,LaSalle,Le Plateau-Mont-Royal,Le Sud-Ouest,L'Île-Bizard–Sainte-Geneviève,Mercier–Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Baie-D'Urfé,Beaconsfield,Côte-Saint-Luc,Dollard-Des Ormeaux,Dorval,Hampstead,Kirkland,Montréal-Est,Montréal-Ouest,Mont-Royal,Pointe-Claire,Sainte-Anne-de-Bellevue,Senneville,Westmount
population2016,"1,942,044","1,704,694","134,245","42,796","166,520","44,489","76,853","104,000","78,151","18,413","136,024","84,234","23,954","69,297","106,743","139,590","98,828","78,305","69,229","89,170","143,853","3,823","19,324","32,448","48,899","18,980","6,973","20,151","3,850","5,050","20,276","31,380","4,958",921,"20,312"
population2011,"1,886,481","1,649,519","126,891","41,928","165,031","41,616","74,276","100,390","71,546","18,097","131,483","83,868","23,566","68,410","106,437","134,038","93,842","75,707","66,158","84,013","142,222","3,850","19,505","32,321","49,637","18,208","7,153","21,253","3,728","5,085","19,503","30,790","5,073",920,"19,931"
percVariation2011_2016,2.9,3.3,5.8,2.1,0.9,6.9,3.5,3.6,9.2,1.7,3.5,0.4,1.6,1.3,0.3,4.1,5.3,3.4,4.6,6.1,1.1,-0.7,-0.9,0.4,-1.5,4.2,-2.5,-5.2,3.3,-0.7,4.0,1.9,-2.3,0.1,1.9
area_km2,499.1,365.2,24.2,13.7,21.4,17.7,16.3,8.1,15.7,23.6,25.4,11.1,3.9,27.1,42.3,15.9,42.8,13.5,9.7,16.5,16.5,6.0,11.0,6.9,15.2,20.9,1.8,9.6,12.5,1.4,7.6,18.8,10.6,7.5,4.0
density,"3,891","4,668","5,556","3,128","7,767","2,511","4,724","12,792","4,984",780,"5,353","7,623","6,222","2,561","2,525","8,807","2,311","5,805","7,126","5,398","8,724",636,"1,760","4,676","3,223",910,"3,904","2,094",309,"3,597","2,652","1,666",470,123,"5,055"
population_total,"1,942,045","1,704,690","134,245","42,800","166,515","44,485","76,860","104,000","78,150","18,410","136,020","84,235","23,955","69,300","106,740","139,590","98,825","78,305","69,225","89,175","143,860","3,820","19,325","32,450","48,895","18,980","6,970","20,150","3,850","5,050","20,275","31,380","4,955",925,"20,315"
population_0_4yrs,"109,740","98,815","8,610","2,440","9,495","2,535","4,455","4,920","4,255",865,"7,510","5,685","1,780","3,690","5,425","7,845","6,995","5,915","3,940","3,080","9,375",125,865,"1,885","2,245",810,365,705,230,265,"1,095","1,370",150,35,785
population_5_9yrs,"104,385","91,005","7,855","2,605","9,285","2,470","4,290","3,795","3,470",980,"6,125","5,420","1,915","4,330","5,860","6,540","6,900","5,485","3,330","1,945","8,405",190,"1,180","2,020","2,715",885,430,"1,105",210,325,"1,425","1,600",175,40,"1,080"
population_10_14yrs,"90,350","75,960","6,280","2,210","8,060","2,190","3,735","2,840","2,915","1,080","4,905","4,525","1,755","4,490","5,545","5,005","5,875","4,020","2,455","1,500","6,580",280,"1,385","1,745","3,020",865,510,"1,295",150,345,"1,535","1,775",250,60,"1,165"
population_15_19yrs,"97,835","81,790","6,435","2,095","9,250","2,245","3,950","3,835","3,270","1,270","5,420","4,790","1,675","4,795","6,210","4,685","5,695","3,985","2,370","2,970","6,845",315,"1,615","1,640","3,400",990,580,"1,650",220,365,"1,435","1,915",440,80,"1,395"
population_20_24yrs,"139,720","123,930","7,785","2,220","15,210","2,610","4,615","11,900","5,665","1,245","9,440","5,190","1,710","4,735","6,835","8,730","5,935","4,110","4,065","11,315","10,635",240,"1,285","1,580","3,495","1,290",570,"1,595",270,370,"1,250","1,910",515,55,"1,370"
population_25_29yrs,"153,500","142,395","8,755","2,050","14,135","2,775","4,645","14,725","9,100",910,"12,095","5,025","1,355","3,660","6,320","13,810","5,970","4,130","5,950","13,365","13,620",110,625,"1,440","2,640","1,120",325,880,335,185,805,"1,325",285,30,"1,010"
population_30_34yrs,"152,195","141,520","9,730","2,305","14,000","3,055","4,980","12,335","8,865",830,"12,435","5,025","1,155","3,770","5,990","14,740","7,040","4,800","6,825","10,370","13,270",90,605,"1,645","2,315","1,200",315,700,275,185,895,"1,340",220,30,840
population_35_39yrs,"147,480","134,710","10,200","2,780","13,280","3,225","5,320","10,165","6,870","1,075","11,590","5,380","1,490","4,295","6,545","13,810","7,515","5,470","6,035","7,450","12,210",120,905,"2,075","2,730","1,155",350,925,285,245,"1,165","1,595",210,35,970
population_40_44yrs,"128,970","114,790","9,415","2,745","11,520","2,910","5,070","7,175","5,065","1,110","8,655","5,420","1,460","4,645","6,690","9,870","7,345","5,680","4,850","5,120","10,040",190,"1,220","1,935","2,905","1,235",385,"1,090",230,335,"1,425","1,805",260,40,"1,120"
population_45_49yrs,"125,510","109,245","8,790","2,895","10,560","3,005","5,250","5,655","4,570","1,370","8,420","5,650","1,385","5,360","7,220","8,385","6,985","5,690","4,280","4,615","9,160",310,"1,545","1,770","3,355","1,310",465,"1,565",270,365,"1,490","2,125",395,75,"1,225"
population_50_54yrs,"131,865","113,465","8,805","2,930","10,090","3,480","5,520","5,655","4,920","1,690","9,525","5,700","1,455","5,780","8,715","9,035","6,355","5,035","4,645","5,125","9,005",365,"1,740","1,680","3,775","1,575",530,"1,995",270,450,"1,530","2,520",445,75,"1,440"
population_55_59yrs,"127,010","109,565","8,710","2,920","9,330","3,465","5,270","5,255","5,070","1,615","9,690","5,370","1,265","5,295","8,970","8,860","5,675","4,495","4,800","5,055","8,460",310,"1,540","1,665","3,610","1,540",495,"1,890",310,415,"1,280","2,500",390,75,"1,430"
population_60_64yrs,"109,825","94,485","7,495","2,630","8,205","2,815","4,755","4,750","4,315","1,315","8,400","4,740","1,325","4,245","7,335","7,705","4,730","3,775","4,290","4,660","7,010",265,"1,265","1,880","3,385","1,270",400,"1,460",265,355,"1,090","2,120",285,75,"1,230"
population_65_69yrs,"95,180","80,575","6,460","2,460","7,415","2,295","4,350","3,945","3,405","1,000","6,530","4,220","1,210","3,375","6,170","6,140","4,405","3,870","3,515","4,115","5,690",235,"1,115","2,200","3,165","1,145",405,"1,255",215,315,975,"1,890",215,75,"1,405"
population_70_74yrs,"72,395","61,060","5,270","2,275","5,305","1,645","3,450","2,595","2,245",615,"4,965","3,455",975,"2,560","4,415","4,480","3,415","3,265","2,745","3,145","4,250",205,900,"1,870","2,295",880,320,785,125,220,865,"1,485",180,60,"1,130"
population_75_79yrs,"57,285","48,665","4,440","2,040","4,085","1,225","2,855","1,680","1,660",465,"3,695","3,140",695,"1,835","3,380","3,295","2,965","3,305","2,040","2,220","3,650",175,635,"1,610","1,620",655,225,540,70,155,695,"1,195",95,45,915
population_80_84yrs,"46,700","39,765","4,200","1,720","3,255","1,130","2,205","1,305","1,245",385,"3,120","2,620",600,"1,340","2,490","3,100","2,385","2,780","1,530","1,520","2,835",105,440,"1,460","1,145",515,135,360,60,90,590,"1,180",90,25,750
population_85_89yrs,"32,315","27,120","3,070","1,070","2,345",840,"1,415",870,780,325,"2,210","1,820",440,755,"1,755","2,200","1,695","1,675",970,"1,010","1,870",105,290,"1,200",690,340,110,220,35,45,460,990,80,10,620
population_90_94yrs,"15,195","12,190","1,440",345,"1,270",410,580,460,365,205,"1,020",810,230,255,670,"1,045",730,655,485,445,765,65,125,845,290,150,50,105,15,20,205,590,205,10,320
population_95_99yrs,"3,950","3,140",415,60,380,140,130,130,100,55,250,215,70,70,165,250,195,135,100,120,165,15,35,255,75,35,10,25,5,5,60,130,65,0,95
population_100yrs_over,645,510,80,5,65,25,20,15,15,5,35,40,10,10,35,50,30,25,10,15,20,5,5,45,15,5,5,0,0,0,15,20,5,0,25
mean_age_total,40.6,40.3,41.6,43.9,38.7,41.8,42.2,37.4,38.9,42.1,41.2,41.2,38.5,39.8,42.2,40.4,39.0,41.1,41.4,40.0,38.3,45.3,41.7,45.8,41.9,43.5,40.1,41.9,39.6,40.9,41.0,45.3,43.5,44.6,45.1
median_age_total,38.5,37.9,39.9,43.8,36.1,40.2,41.6,33.6,35.7,43.1,38.5,40.0,36.1,41.0,42.8,37.4,38.1,40.6,38.9,34.5,36.0,47.9,44.3,44.4,42.7,43.8,40.7,45.2,38.2,43.5,41.4,46.1,42.7,48.3,45.4
males_total,"944,485","830,930","64,405","19,850","79,630","21,360","36,440","52,925","38,695","8,995","67,520","39,890","11,280","33,600","51,085","67,000","47,805","37,020","33,280","48,725","71,425","1,850","9,415","14,910","23,780","9,265","3,355","9,765","1,970","2,455","9,720","14,745","2,490",440,"9,395"
male_0_4yrs,"56,060","50,510","4,425","1,245","4,870","1,350","2,250","2,520","2,200",465,"3,815","2,925",930,"1,860","2,680","4,005","3,655","2,975","1,995","1,600","4,745",60,430,965,"1,120",420,190,350,120,125,580,705,70,15,390
male_5_9yrs,"53,250","46,335","4,060","1,305","4,755","1,235","2,135","1,895","1,850",505,"3,090","2,750","1,005","2,215","2,970","3,290","3,525","2,740","1,735","1,020","4,270",90,615,"1,050","1,395",465,205,565,100,175,745,840,80,15,570
male_10_14yrs,"46,010","38,640","3,130","1,145","4,095","1,100","1,945","1,460","1,465",545,"2,540","2,265",875,"2,285","2,815","2,540","3,015","2,035","1,225",760,"3,405",130,705,880,"1,570",440,255,665,70,170,810,905,140,30,595
male_15_19yrs,"49,370","41,070","3,200","1,075","4,685","1,145","2,005","1,795","1,615",650,"2,750","2,425",815,"2,485","3,200","2,330","2,920","2,010","1,105","1,410","3,455",160,815,830,"1,775",535,285,835,125,185,775,"1,020",200,40,725
male_20_24yrs,"69,190","61,105","3,785","1,110","7,500","1,250","2,345","5,715","2,790",625,"4,640","2,470",840,"2,425","3,465","4,120","2,985","1,970","1,995","5,795","5,280",130,670,815,"1,830",665,310,805,135,200,600,970,255,30,670
male_25_29yrs,"75,655","70,090","4,170",970,"7,175","1,375","2,220","7,385","4,475",475,"5,915","2,350",690,"1,830","3,190","6,505","2,870","1,845","2,850","7,270","6,540",60,320,700,"1,350",545,170,450,165,95,400,680,120,10,500
male_30_34yrs,"74,675","69,610","4,660","1,025","6,835","1,515","2,360","6,355","4,495",430,"6,350","2,315",540,"1,815","2,930","7,045","3,295","2,020","3,435","5,700","6,495",45,275,725,"1,135",625,130,320,145,80,400,660,115,15,390
male_35_39yrs,"73,440","67,500","5,225","1,310","6,390","1,555","2,530","5,390","3,465",500,"6,215","2,485",710,"1,955","3,120","6,855","3,625","2,495","3,045","4,395","6,220",60,405,955,"1,280",585,155,450,150,110,530,710,100,15,445
male_40_44yrs,"65,110","58,595","4,895","1,320","5,525","1,455","2,470","3,940","2,535",555,"4,600","2,690",685,"2,180","3,180","5,195","3,620","2,965","2,460","3,095","5,230",85,550,915,"1,350",590,175,485,125,145,615,855,130,15,495
male_45_49yrs,"63,790","56,180","4,665","1,470","5,095","1,510","2,570","3,100","2,335",635,"4,490","2,925",645,"2,580","3,470","4,445","3,505","3,020","2,125","2,745","4,845",135,735,855,"1,590",610,215,690,140,190,705,"1,000",175,40,545
male_50_54yrs,"67,065","58,220","4,525","1,460","4,905","1,720","2,710","3,120","2,530",835,"5,060","2,970",695,"2,815","4,165","4,675","3,205","2,550","2,315","3,155","4,820",175,835,790,"1,850",780,250,970,160,190,740,"1,205",215,35,640
male_55_59yrs,"62,680","54,240","4,315","1,380","4,380","1,725","2,520","2,735","2,570",805,"4,895","2,600",590,"2,600","4,240","4,350","2,770","2,135","2,290","3,025","4,320",170,775,785,"1,685",740,240,930,170,200,640,"1,220",185,35,670
male_60_64yrs,"52,545","45,320","3,490","1,180","3,735","1,390","2,155","2,515","2,100",675,"4,100","2,255",610,"2,055","3,400","3,675","2,215","1,700","1,960","2,625","3,485",130,620,825,"1,565",635,190,680,140,170,540,"1,020",155,30,535
male_65_69yrs,"44,325","37,465","2,915","1,035","3,340","1,070","1,910","2,045","1,670",505,"3,095","1,845",570,"1,610","2,890","2,780","1,970","1,695","1,605","2,235","2,695",115,545,975,"1,525",545,180,635,110,165,450,855,100,35,630
male_70_74yrs,"31,985","26,755","2,190",940,"2,190",730,"1,445","1,290","1,040",310,"2,220","1,460",405,"1,135","1,965","1,885","1,495","1,370","1,200","1,600","1,900",105,430,795,"1,115",400,145,395,65,105,390,670,80,30,485
male_75_79yrs,"24,010","20,190","1,735",775,"1,650",465,"1,195",705,735,210,"1,540","1,280",260,790,"1,485","1,240","1,265","1,395",820,"1,060","1,590",75,315,665,735,300,120,265,25,65,290,470,45,25,425
male_80_84yrs,"18,670","15,745","1,570",650,"1,265",440,955,525,440,150,"1,150","1,040",215,560,"1,080","1,105",955,"1,175",640,690,"1,150",55,215,560,505,205,65,175,30,50,265,425,45,20,315
male_85_89yrs,"11,370","9,340",995,350,780,240,505,290,275,90,760,590,135,310,630,700,635,670,310,375,700,45,125,470,285,130,50,70,15,15,180,340,45,5,245
male_90_94yrs,"4,360","3,335",370,95,350,80,185,105,95,50,255,205,55,70,180,225,250,225,150,145,235,25,40,265,90,45,25,30,0,10,60,160,170,0,100
male_95_99yrs,830,585,70,10,90,15,30,15,20,10,35,40,10,20,25,40,40,30,10,35,45,5,5,70,15,10,0,5,0,0,20,30,50,0,20
male_100yrs_over,105,75,5,0,15,5,0,0,5,0,5,5,5,0,10,5,5,10,0,0,0,0,0,10,0,0,0,0,0,0,5,5,10,0,5
mean_age_male,39.4,39.0,39.8,41.7,37.1,40.1,40.7,37.2,38.1,40.8,40.1,39.5,36.3,38.9,40.9,39.1,37.6,39.8,40.1,39.9,37.6,45.0,41.1,43.3,40.8,42.2,39.6,41.1,39.5,40.2,39.3,42.9,45.6,45.3,43.2
median_age_male,37.8,37.4,39.4,42.2,34.6,39.6,40.4,34.3,35.5,42.2,38.2,39.5,33.9,40.0,41.4,37.2,37.1,40.2,37.9,35.1,35.9,48.2,43.0,41.2,41.1,42.2,38.7,44.4,38.1,42.0,40.6,43.7,40.4,48.3,42.7
females_total,"997,560","873,760","69,835","22,950","86,885","23,125","40,420","51,075","39,460","9,415","68,500","44,345","12,680","35,705","55,655","72,585","51,020","41,280","35,945","40,445","72,430","1,975","9,910","17,540","25,120","9,715","3,620","10,385","1,880","2,595","10,550","16,640","2,470",475,"10,920"
female_0_4yrs,"53,680","48,300","4,185","1,195","4,625","1,185","2,205","2,395","2,055",400,"3,695","2,755",850,"1,835","2,740","3,840","3,345","2,940","1,950","1,480","4,630",65,440,920,"1,120",390,175,355,115,135,515,665,75,25,390
female_5_9yrs,"51,135","44,675","3,790","1,305","4,535","1,235","2,155","1,900","1,625",480,"3,035","2,670",910,"2,115","2,895","3,255","3,380","2,740","1,595",925,"4,135",100,565,970,"1,325",420,230,535,115,150,675,755,90,25,515
female_10_14yrs,"44,340","37,325","3,145","1,070","3,960","1,090","1,795","1,375","1,445",540,"2,365","2,265",880,"2,200","2,730","2,465","2,860","1,990","1,225",740,"3,175",145,685,865,"1,455",425,255,630,80,175,730,870,110,30,570
female_15_19yrs,"48,465","40,715","3,230","1,030","4,565","1,095","1,945","2,040","1,660",625,"2,670","2,365",860,"2,315","3,010","2,355","2,775","1,975","1,260","1,560","3,385",155,800,805,"1,625",460,295,820,95,180,655,895,240,40,670
female_20_24yrs,"70,530","62,820","3,995","1,110","7,710","1,355","2,260","6,180","2,875",620,"4,795","2,715",870,"2,310","3,370","4,615","2,950","2,140","2,070","5,520","5,350",110,615,765,"1,660",630,260,785,135,170,650,940,260,25,695
female_25_29yrs,"77,850","72,305","4,580","1,080","6,965","1,405","2,425","7,335","4,625",440,"6,175","2,670",665,"1,835","3,135","7,305","3,100","2,285","3,105","6,095","7,080",50,305,740,"1,290",575,155,425,170,95,405,640,160,15,515
female_30_34yrs,"77,520","71,905","5,070","1,280","7,160","1,545","2,620","5,980","4,370",400,"6,085","2,715",615,"1,955","3,060","7,695","3,750","2,780","3,390","4,675","6,775",45,330,920,"1,180",580,185,380,130,110,500,680,105,15,445
female_35_39yrs,"74,040","67,210","4,970","1,470","6,885","1,670","2,795","4,765","3,405",575,"5,380","2,890",775,"2,340","3,425","6,960","3,890","2,975","2,990","3,060","5,985",65,500,"1,120","1,450",570,190,480,140,130,635,890,115,20,525
female_40_44yrs,"63,865","56,195","4,520","1,425","5,995","1,455","2,595","3,235","2,530",560,"4,060","2,725",770,"2,465","3,510","4,675","3,725","2,720","2,390","2,025","4,815",110,670,"1,015","1,560",645,215,605,105,190,810,955,135,25,625
female_45_49yrs,"61,715","53,065","4,125","1,420","5,465","1,490","2,680","2,545","2,240",735,"3,930","2,730",745,"2,780","3,750","3,940","3,485","2,670","2,150","1,875","4,315",175,810,915,"1,770",700,250,875,130,175,790,"1,130",220,35,680
female_50_54yrs,"64,800","55,240","4,285","1,470","5,185","1,760","2,810","2,535","2,390",855,"4,465","2,730",760,"2,965","4,550","4,360","3,150","2,485","2,330","1,970","4,185",190,905,895,"1,920",795,285,"1,020",110,255,790,"1,315",225,40,805
female_55_59yrs,"64,330","55,320","4,395","1,535","4,955","1,745","2,750","2,520","2,495",810,"4,795","2,770",670,"2,700","4,730","4,505","2,900","2,360","2,510","2,035","4,135",140,765,880,"1,920",800,260,960,140,210,640,"1,280",205,35,760
female_60_64yrs,"57,285","49,170","4,005","1,450","4,465","1,425","2,600","2,235","2,215",645,"4,295","2,485",720,"2,195","3,930","4,030","2,515","2,080","2,330","2,035","3,520",140,645,"1,055","1,820",635,210,780,125,185,550,"1,105",130,40,695
female_65_69yrs,"50,855","43,115","3,550","1,425","4,075","1,230","2,445","1,905","1,730",500,"3,435","2,375",640,"1,765","3,280","3,360","2,435","2,175","1,910","1,880","2,995",120,570,"1,225","1,645",595,220,625,105,155,525,"1,035",110,40,770
female_70_74yrs,"40,410","34,300","3,075","1,335","3,115",915,"2,005","1,305","1,200",300,"2,745","1,995",575,"1,425","2,455","2,595","1,920","1,895","1,545","1,550","2,355",105,470,"1,075","1,180",480,175,390,65,115,475,815,95,25,645
female_75_79yrs,"33,275","28,470","2,710","1,260","2,430",755,"1,660",970,925,260,"2,155","1,860",435,"1,045","1,895","2,060","1,695","1,910","1,215","1,160","2,060",95,320,940,890,355,100,275,45,90,405,725,45,20,495
female_80_84yrs,"28,030","24,010","2,630","1,065","1,985",695,"1,255",780,805,240,"1,970","1,575",385,780,"1,410","2,000","1,435","1,605",890,825,"1,680",50,225,900,635,315,70,190,35,40,325,755,45,5,430
female_85_89yrs,"20,940","17,775","2,075",720,"1,560",605,905,575,505,235,"1,455","1,230",305,445,"1,130","1,500","1,060","1,005",665,635,"1,170",60,165,730,405,210,55,150,20,30,285,650,35,5,375
female_90_94yrs,"10,835","8,860","1,065",250,915,330,395,345,270,145,765,605,175,185,490,825,480,430,340,300,535,45,85,575,200,110,25,75,15,15,145,430,35,10,220
female_95_99yrs,"3,120","2,550",345,45,290,125,100,115,85,45,220,180,60,55,135,210,155,100,85,85,120,5,30,180,65,30,5,25,0,5,40,95,10,5,75
female_100yrs_over,545,435,75,5,50,15,20,15,10,0,30,35,10,10,25,40,25,20,10,15,20,0,5,35,15,5,5,0,0,0,10,20,0,0,20
mean_age_female,41.8,41.4,43.3,45.7,40.1,43.4,43.6,37.6,39.7,43.3,42.4,42.7,40.5,40.8,43.3,41.5,40.3,42.2,42.6,40.0,39.0,45.5,42.4,47.9,42.9,44.8,40.6,42.5,39.8,41.5,42.5,47.4,41.5,43.9,46.8
median_age_female,39.2,38.5,40.4,45.5,37.5,40.9,42.6,32.8,35.8,43.7,38.9,40.5,38.2,41.9,43.9,37.5,38.9,40.9,39.9,33.6,36.0,47.5,45.2,46.9,44.2,45.2,42.1,46.1,38.4,44.6,42.0,47.9,45.0,48.9,47.4
Married_commonLaw,"791,000","677,505","54,075","18,365","64,315","17,220","32,010","36,365","29,180","8,750","51,455","30,315","9,795","32,240","46,655","52,665","44,095","34,210","29,455","31,115","55,240","2,050","10,050","14,810","23,630","8,570","3,380","10,710","1,430","2,570","9,635","14,785","1,950",520,"9,395"
Married,"570,700","471,375","40,300","13,850","51,745","11,190","24,950","15,950","16,495","6,740","28,140","23,920","7,135","27,920","33,535","25,535","38,975","30,205","17,410","18,675","38,700","1,835","8,885","13,680","21,670","6,560","3,170","9,755",755,"2,270","8,170","12,430","1,510",435,"8,185"
commonLaw,"220,305","206,135","13,780","4,515","12,565","6,030","7,060","20,420","12,685","2,010","23,315","6,400","2,655","4,315","13,115","27,130","5,115","4,000","12,045","12,440","16,540",210,"1,170","1,135","1,960","2,010",205,955,670,300,"1,465","2,350",435,90,"1,205"
notMarried_notCommonLaw,"799,980","720,380","52,000","16,090","72,005","18,100","30,670","53,595","36,625","6,110","61,760","35,690","7,970","24,115","40,350","64,215","33,540","27,355","28,160","48,935","63,095","1,065","5,545","10,940","16,670","7,440","2,285","6,125","1,695","1,545","6,170","10,535","1,950",265,"7,360"
neverMarried,"571,910","517,635","35,145","10,205","52,515","12,400","20,195","44,870","27,335","4,285","45,100","22,920","5,795","16,750","27,490","47,755","22,895","17,265","19,820","39,775","45,115",790,"4,090","6,145","11,695","5,015","1,745","4,685","1,240","1,125","4,350","6,765","1,410",190,"5,030"
separated,"32,400","29,220","2,350",670,"3,390",755,"1,475","1,380","1,390",275,"2,095","2,000",270,"1,060","1,585","2,335","1,490","1,320","1,045","1,345","2,990",10,185,565,590,355,60,160,65,55,300,425,90,10,300
divorced,"122,235","110,305","8,885","3,060","10,740","3,300","5,385","5,585","5,375","1,020","9,405","6,670","1,275","3,750","6,555","9,425","5,185","4,755","4,825","5,490","9,620",135,695,"2,035","2,450","1,245",275,660,265,235,830,"1,700",295,35,"1,070"
widow,"73,445","63,215","5,620","2,155","5,370","1,640","3,615","1,755","2,525",530,"5,160","4,100",635,"2,555","4,720","4,695","3,975","4,010","2,470","2,325","5,375",125,575,"2,195","1,940",825,200,615,125,140,690,"1,650",160,35,960
singleParentHouseholds,"99,720","89,965","6,610","2,275","8,595","2,710","4,845","3,405","4,490",800,"7,670","6,345",955,"3,475","6,845","6,755","4,820","4,435","3,385","2,790","8,755",100,645,"1,405","2,195",885,235,670,285,205,800,"1,285",195,40,805
singleParentHouseholds_females,"81,450","73,625","5,415","1,945","7,380","2,150","4,035","2,565","3,740",565,"6,085","5,430",700,"2,715","5,610","5,290","4,085","3,775","2,715","2,255","7,165",80,525,"1,210","1,795",645,180,520,215,175,605,"1,040",150,20,650
singleParentHouseholds_males,"18,275","16,345","1,195",330,"1,215",560,810,840,745,235,"1,585",910,255,765,"1,240","1,470",740,660,665,535,"1,595",20,120,190,405,240,55,150,70,30,195,250,45,20,155
