,AGGLOMÉRATION DE MONTRÉAL,Ville de Montréal,Ahuntsic-Cartierville,Anjou,Côte-des-Neiges–Notre-Dame-de-Grâce,Lachine,LaSalle,Le Plateau-Mont-Royal,Le Sud-Ouest,L'Île-Bizard–Sainte-Geneviève,Mercier–Hochelaga-Maisonneuve,Montréal-Nord,Outremont,Pierrefonds-Roxboro,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite-Patrie,Saint-Laurent,Saint-Léonard,Verdun,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Baie-D'Urfé,Beaconsfield,Côte-Saint-Luc,Dollard-Des Ormeaux,Dorval,Hampstead,Kirkland,Montréal-Est,Montréal-Ouest,Mont-Royal,Pointe-Claire,Sainte-Anne-de-Bellevue,Senneville,Westmount
Couples_nokids,"177,845","155,025","11,055","4,270","12,895","3,865","6,985","10,940","8,195","1,730","13,870","5,745","1,955","5,600","10,230","14,030","7,470","6,340","8,105","10,155","11,585",445,"1,900","3,320","4,310","2,050",615,"1,880",355,455,"1,625","3,175",415,115,"2,160"
Couples_wKids,"207,650","174,670","15,220","4,735","17,825","4,645","8,610","6,835","6,085","2,610","11,400","8,830","2,830","10,180","12,800","11,815","13,960","10,350","6,380","4,695","14,870",575,"3,075","3,905","7,295","2,180","1,045","3,415",355,815,"3,120","4,125",550,130,"2,385"
Couples_1kid,"82,385","71,140","5,800","1,725","7,365","2,010","3,525","3,350","2,880",970,"5,220","3,150",835,"3,610","5,195","5,340","4,885","3,565","3,170","2,665","5,870",200,"1,030","1,445","2,355",845,310,"1,165",170,290,950,"1,480",185,45,770
Couples_2kids,"86,360","71,145","6,380","2,045","7,115","1,910","3,575","2,575","2,230","1,220","4,430","3,395","1,090","4,585","5,465","4,975","5,935","4,415","2,500","1,475","5,835",250,"1,500","1,540","3,405","1,010",390,"1,665",135,380,"1,515","1,935",285,65,"1,125"
Couples_3kidsPlus,"38,905","32,380","3,040",965,"3,340",730,"1,510",905,970,425,"1,750","2,285",905,"1,990","2,135","1,495","3,140","2,370",710,550,"3,165",120,555,915,"1,525",325,345,585,55,145,650,710,80,20,490
singleParentHouseholds_1kid,"62,950","57,360","4,200","1,395","5,575","1,690","3,120","2,385","2,830",475,"5,090","3,845",570,"2,035","4,160","4,640","2,855","2,860","2,345","1,930","5,355",30,310,855,"1,265",575,110,380,195,115,455,780,90,25,395
singleParentHouseholds_2kids,"27,110","23,990","1,885",620,"2,215",710,"1,315",805,"1,125",255,"1,940","1,725",305,980,"1,940","1,720","1,390","1,205",795,600,"2,465",40,200,410,695,255,85,210,75,65,255,390,85,15,345
singleParentHouseholds_3kidsPlus,"9,660","8,610",520,260,805,315,410,210,535,70,640,775,85,455,750,400,570,370,235,265,940,30,135,135,240,55,40,80,20,20,90,120,15,10,65
household_ 2person,"240,790","212,385","15,255","5,670","18,465","5,555","10,100","13,330","11,025","2,205","18,965","9,590","2,530","7,635","14,395","18,675","10,320","9,200","10,455","12,080","16,935",470,"2,210","4,175","5,570","2,630",725,"2,260",550,570,"2,085","3,950",505,135,"2,550"
household_ 3person,"109,495","95,130","7,690","2,350","9,585","2,715","4,845","4,155","4,000","1,220","7,160","4,875","1,135","4,595","7,135","7,060","6,280","4,770","3,970","3,265","8,335",240,"1,225","1,855","3,050","1,095",395,"1,375",245,355,"1,205","1,870",270,60,"1,115"
household_ 4person,"93,720","77,705","6,790","2,240","7,725","2,165","3,850","2,750","2,590","1,265","4,910","3,975","1,160","4,940","6,075","5,285","6,430","4,710","2,650","1,655","6,520",275,"1,580","1,645","3,580","1,045",425,"1,730",150,405,"1,580","2,035",305,70,"1,185"
household_ 5person,"41,210","34,430","3,150","1,030","3,535",785,"1,640",945,"1,145",440,"1,915","2,480",915,"2,085","2,270","1,580","3,215","2,450",790,635,"3,415",130,605,955,"1,595",350,345,605,60,145,680,725,80,25,490
mean_householdSize,2.9,2.9,3.0,2.9,3.0,2.9,2.9,2.6,2.7,3.0,2.7,3.0,3.3,3.1,2.9,2.7,3.1,3.0,2.7,2.5,2.9,3.1,3.1,3.0,3.1,2.8,3.3,3.1,2.8,3.1,3.2,3.0,3.0,2.9,3.0
houseType_house,"99,480","57,110","5,120","1,500","1,960","2,830","1,255",45,465,"4,250","2,935","2,565",635,"12,945","10,875",915,"4,040","1,915","1,105",220,"1,550","1,245","5,740","1,985","9,950","3,925","1,215","5,785",435,800,"2,485","6,565",840,315,"1,080"
houseType_apartment_buildingPlus5floors,"125,960","109,910","7,550","3,445","16,635","1,135","1,190","8,700","7,050",140,"2,655","3,555","1,705","1,295","1,380","4,615","10,975","2,435","7,245","25,910","2,305",0,0,"7,185","1,325",775,250,210,80,0,805,"2,185",65,0,"3,170"
houseType_other,"644,530","612,400","46,295","13,845","56,405","15,910","30,830","47,955","31,960","2,415","61,395","28,920","6,835","11,130","30,170","67,470","22,320","26,585","25,640","25,325","61,005",95,920,"4,315","5,935","3,695","1,000",685,"1,220","1,045","4,070","3,630","1,060",30,"4,435"
houseType_twinHouse,"32,510","25,765","2,200",815,"3,840",645,"1,525",55,210,335,"1,720","1,225",815,"1,310","6,070",505,"2,310",845,470,145,720,0,95,"1,475",360,310,210,65,20,385,"1,390",920,190,15,"1,310"
houseType_attached,"33,745","25,825",600,865,820,"1,355","1,000","1,000","2,840",190,"1,680",410,475,"1,955","4,290","1,575","3,180",115,"1,895",950,630,50,500,705,"2,905",220,0,570,15,30,240,"1,300",160,0,"1,210"
houseType_duplex,"109,055","106,285","7,980","1,515","11,100","3,325","17,895","3,605","6,920",210,"8,960","5,230",715,260,"1,655","10,155","2,975","3,335","7,220","1,005","12,210",10,0,725,40,235,325,10,330,205,455,80,70,10,275
houseType_apartment_buildingLess5floors,"465,905","451,315","35,215","10,635","40,530","10,505","10,380","42,960","21,855","1,660","48,690","21,900","4,790","7,605","18,115","54,530","13,805","22,220","16,030","23,105","46,780",35,320,"1,400","2,620","2,920",465,45,845,420,"1,980","1,320",585,10,"1,620"
houseType_mobileHome,395,375,20,10,20,40,0,15,20,130,10,0,0,10,20,15,50,0,10,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0
houseType_owner,"348,235","286,430","23,135","8,325","20,010","8,505","13,280","15,640","13,520","5,130","23,055","9,960","4,940","17,730","27,025","22,265","18,300","10,855","12,625","14,100","18,015","1,255","5,980","6,620","13,175","5,030","1,655","6,315",765,"1,430","4,950","8,700","1,055",305,"4,565"
houseType_renter,"522,140","493,365","35,850","10,470","54,995","11,415","19,990","41,065","25,975","1,800","43,935","25,080","4,230","7,655","15,420","50,750","19,075","20,080","21,365","37,355","46,865",80,685,"6,865","4,040","3,365",820,365,970,415,"2,420","3,675",905,40,"4,115"
Logements privés occupés selon le statut de copropriété,"870,375","779,795","58,985","18,800","75,005","19,915","33,270","56,710","39,495","6,930","66,985","35,035","9,170","25,385","42,445","73,020","37,380","30,935","33,990","51,450","64,885","1,335","6,665","13,490","17,210","8,390","2,475","6,685","1,730","1,850","7,370","12,380","1,960",350,"8,685"
houseSize_noBedrooms,"14,110","13,690","1,000",75,"2,175",155,310,"2,520",575,30,760,345,50,110,165,"1,265",220,55,320,"2,690",880,10,0,65,90,75,10,0,10,10,20,80,10,0,60
houseSize_1Bedrooms,"254,690","242,290","19,370","4,370","27,245","4,775","7,260","25,515","14,105",730,"21,565","7,315","1,565","2,510","4,800","29,835","8,035","5,190","10,930","25,690","21,485",20,90,"3,445","1,345","1,800",335,75,340,85,"1,090","1,615",290,15,"1,855"
houseSize_2Bedrooms,"292,930","274,040","18,855","6,510","25,010","7,425","10,645","18,350","15,785","1,530","25,060","13,625","3,085","6,340","14,435","27,080","13,155","11,005","14,755","16,940","24,450",65,725,"4,115","2,730","2,370",405,460,735,250,"1,765","2,305",560,25,"2,375"
houseSize_3Bedrooms,"216,835","190,230","14,785","6,555","14,380","6,000","12,830","7,785","7,275","2,510","16,130","11,310","2,375","9,420","16,985","11,770","11,410","12,680","6,295","4,790","14,960",415,"1,805","3,265","5,325","2,410",535,"1,895",515,695,"2,015","5,060",695,105,"1,880"
houseSize_4PlusBedrooms,"91,805","59,540","4,975","1,290","6,205","1,560","2,225","2,540","1,750","2,140","3,480","2,440","2,105","7,000","6,060","3,070","4,560","2,005","1,690","1,340","3,105",835,"4,045","2,600","7,710","1,735","1,195","4,250",140,815,"2,480","3,310",410,200,"2,515"
houseSize_4Rooms,"467,490","442,240","33,325","9,605","47,710","9,985","15,700","36,720","25,090","1,760","37,880","19,360","2,735","7,715","15,775","46,380","19,215","15,010","18,960","40,185","39,135",55,385,"6,660","3,630","3,430",620,325,840,210,"2,265","3,085",635,15,"3,105"
houseSize_5Rooms,"163,460","153,395","10,280","4,820","10,555","4,230","9,270","9,585","8,125",825,"15,555","9,005","1,835","3,625","7,615","13,220","7,105","8,115","8,240","6,375","15,020",60,415,"2,000","1,845",965,135,410,420,215,730,"1,495",250,25,"1,095"
houseSize_6Rooms,"79,940","70,265","4,775","1,645","6,445","2,055","3,670","5,410","3,185",795,"6,085","2,335","1,225","3,290","5,725","6,395","3,840","2,575","3,260","2,685","4,875",110,585,"1,205","1,990",960,200,725,200,280,590,"1,675",290,10,870
houseSize_7Rooms,"58,855","47,985","3,750","1,320","4,280","1,575","2,455","2,800","1,760",960,"3,635","1,885","1,205","3,525","5,270","3,005","2,845","2,190","1,590","1,195","2,745",200,860,"1,220","2,380",900,250,885,110,220,745,"1,910",280,50,870
houseSize_8Rooms,"100,625","65,915","6,850","1,410","6,025","2,065","2,180","2,195","1,335","2,600","3,835","2,455","2,180","7,225","8,055","4,020","4,375","3,045","1,950","1,005","3,115",910,"4,425","2,400","7,370","2,135","1,270","4,335",165,930,"3,050","4,215",505,245,"2,745"
mean_houseSize,4.8,4.6,4.7,4.7,4.3,4.9,4.8,4.1,4.2,6.7,4.5,4.6,6.0,6.1,5.6,4.3,4.9,4.9,4.5,3.6,4.3,8.6,8.4,5.2,6.9,5.7,7.4,8.3,5.0,7.4,6.7,6.4,6.0,9.0,6.2
houseAge_total,"870,370","779,795","58,985","18,795","75,010","19,920","33,270","56,710","39,495","6,930","66,990","35,040","9,175","25,380","42,445","73,020","37,380","30,935","33,990","51,455","64,880","1,335","6,660","13,490","17,210","8,390","2,470","6,680","1,735","1,850","7,375","12,380","1,960",350,"8,685"
houseAge_1960,"334,265","302,400","21,925","2,920","38,380","8,835","8,440","32,450","17,200",870,"28,635","9,935","6,640","3,955","5,365","38,155","9,905","4,375","15,535","16,965","31,920",680,"2,170","3,585","1,000","3,985","1,185",120,935,"1,495","5,085","4,895",740,210,"5,765"
houseAge_1961_1980,"284,020","249,620","19,670","9,190","22,380","5,345","16,800","13,255","7,475","2,105","20,630","18,065","1,460","9,810","12,065","17,770","11,430","19,770","7,110","14,010","21,280",350,"3,295","6,025","10,695","2,330","1,100","2,820",340,270,"1,165","3,540",350,85,"2,035"
houseAge_1981_1990,"100,065","88,725","8,340","2,975","5,840","1,750","3,260","3,820","4,430","1,890","6,760","3,755",410,"4,715","13,240","6,515","4,595","2,605","4,330","5,340","4,165",170,570,"2,245","2,535",770,90,"2,120",135,40,235,"1,705",240,10,480
houseAge_1991_2000,"55,905","50,505","3,345","1,835","3,430","1,355","2,325","3,065","2,035","1,050","3,365","1,550",345,"2,900","5,840","3,825","3,355","1,650","2,570","3,955","2,725",95,265,640,"1,215",360,40,935,70,20,225,835,500,25,175
houseAge_2001_2005,"28,935","25,955","1,570","1,275","1,150",630,845,"1,470","1,135",380,"1,855",520,150,"2,070","2,145","1,755","2,630",705,"1,550","2,985","1,155",20,125,505,785,160,10,455,90,10,110,575,85,0,60
houseAge_2006_2010,"32,720","30,385","1,725",515,"1,560",845,525,"1,485","2,485",365,"3,280",575,80,"1,160","2,330","2,005","3,235","1,245","1,525","3,810","1,630",10,125,305,655,230,35,180,95,10,135,490,40,10,15
houseAge_2011_2016,"34,465","32,200","2,410",105,"2,265","1,165","1,075","1,175","4,725",270,"2,470",640,90,770,"1,470","2,985","2,220",585,"1,375","4,385","2,005",10,120,185,325,560,10,45,70,15,415,335,0,0,155
Ménages privés selon l'âge du principal soutien du ménage,"870,375","779,795","58,985","18,795","75,010","19,915","33,270","56,705","39,495","6,930","66,990","35,035","9,175","25,380","42,445","73,020","37,375","30,930","33,995","51,450","64,880","1,335","6,660","13,490","17,210","8,390","2,475","6,680","1,735","1,850","7,375","12,375","1,960",345,"8,685"
median_HouseFees,"1,218","1,207","1,115",956,"1,256","1,260","1,097","1,342","1,309","1,183","1,197","1,041","1,580","1,162","1,061","1,297","1,227","1,013","1,365","1,435","1,099","1,120","1,287","1,358","1,166","1,111","1,795","1,158","1,075","1,393","1,478","1,103","1,069","1,251","1,807"
mean_HouseFees,"1,366","1,337","1,313","1,172","1,480","1,288","1,255","1,480","1,371","1,344","1,258","1,191","1,950","1,208","1,118","1,397","1,399","1,318","1,505","1,599","1,239","1,487","1,545","1,555","1,313","1,165","2,239","1,374","1,087","1,757","1,911","1,240","1,231","1,600","2,304"
median_houseValue,"399,785","380,419","424,720","348,904","500,613","349,647","403,644","400,906","349,635","380,314","330,587","325,304","699,329","331,305","299,120","400,158","400,735","539,170","400,287","391,159","384,518","593,854","501,533","473,208","383,495","349,368","1,001,525","489,726","250,023","600,784","899,840","375,760","380,000","647,854","1,200,698"
mean_houseValue,"462,244","430,072","451,986","366,417","548,055","368,620","431,541","479,977","384,460","452,415","351,204","348,935","896,722","360,055","307,583","424,521","463,060","533,135","463,337","525,007","396,855","643,397","603,087","525,526","422,109","414,180","1,147,558","526,075","277,030","631,370","1,017,819","416,061","405,518","982,011","1,425,737"
residentLanguage_englishOnly,"218,180","169,365","7,935",860,"38,970","5,315","13,810","10,630","8,665","1,895","2,500","2,175","3,165","13,745","2,145","3,140","15,600","3,135","7,115","15,595","12,970",775,"3,780","8,415","12,315","3,670","1,425","3,780",40,980,"1,685","7,095",785,145,"3,925"
residentLanguage_frenchOnly,"507,740","493,780","44,470","20,215","19,915","10,380","15,345","18,810","18,865","2,735","59,860","44,130","3,060","7,965","48,275","49,615","19,140","31,860","14,630","14,085","50,425",70,395,"2,145","2,300","1,350",340,555,"2,280",140,"2,285","1,280",250,40,525
residentLanguage_both,"1,124,080","958,470","72,395","19,910","100,165","26,325","43,935","70,700","47,595","12,910","67,955","33,105","16,160","45,550","51,660","81,890","57,905","38,960","44,495","54,920","71,940","2,830","14,700","20,160","32,645","13,340","5,090","15,340","1,385","3,870","15,585","21,355","3,405",730,"15,165"
residentLanguage_neither,"44,995","41,610","3,920",730,"4,065",490,"2,065","1,370","1,260",240,"1,395","2,200",820,"1,575","1,740","1,580","4,750","3,020","1,090","1,950","7,350",40,150,705,"1,015",210,110,260,10,50,300,330,30,0,165
education_none,"268,120","248,130","18,520","6,905","15,685","7,300","12,560","7,015","12,235","1,965","22,520","20,705","1,770","8,330","20,665","17,200","12,810","16,085","7,945","7,325","30,580",220,"1,230","2,940","5,360","1,905",410,"1,430",945,365,"1,240","2,485",355,65,"1,035"
education_highschool,"324,455","284,580","20,765","8,080","26,175","8,285","16,360","14,275","12,820","3,275","23,340","15,085","2,635","13,910","21,595","19,485","15,995","14,080","10,555","14,115","23,750",500,"2,680","5,485","10,080","4,050",950,"3,425",740,640,"2,200","5,725",925,130,"2,340"
education_postSecondary,"998,410","865,175","66,795","19,465","94,465","19,735","33,755","68,670","40,750","9,620","67,350","30,205","13,355","34,115","44,745","80,195","48,825","31,400","39,120","58,610","64,000","2,400","11,685","17,325","24,855","10,055","4,300","11,970","1,435","3,115","12,370","17,110","2,615",590,"13,380"
education_college,"260,245","224,985","17,520","5,870","22,350","5,670","10,610","13,005","10,355","3,150","18,860","8,795","2,465","11,065","14,865","20,360","12,535","9,845","9,090","11,590","16,995",660,"2,885","4,245","8,020","3,235",905,"3,645",430,650,"2,355","5,005",720,180,"2,335"
education_university,"516,530","437,705","33,405","7,135","57,755","8,300","13,165","47,765","21,945","4,315","27,500","7,735","9,855","15,755","11,230","42,730","27,320","10,860","22,460","38,845","29,630","1,500","7,540","10,375","12,530","4,625","3,015","6,655",220,"2,185","8,980","9,260","1,430",350,"10,150"
education_university_Bac,"301,965","255,355","19,535","4,635","31,590","5,290","8,475","24,900","12,830","2,880","17,475","5,270","4,035","10,610","8,265","24,890","16,405","7,205","12,380","20,930","17,755",815,"4,640","6,130","8,500","3,045","1,645","4,265",140,"1,225","4,430","5,830",880,215,"4,850"
education_university_postgraduate,"48,790","41,310","3,430",900,"5,485",735,"1,215","3,665","1,980",390,"2,670","1,035","1,035","1,415","1,100","3,920","2,810","1,475","2,210","3,230","2,610",130,530,"1,205","1,195",450,370,590,20,170,880,850,115,25,960
education_university_medicine,"15,175","11,610","1,065",190,"1,765",140,275,"1,135",455,160,440,140,740,385,150,675,"1,010",290,660,"1,460",470,60,200,465,325,105,255,165,0,100,935,195,20,20,730
education_university_masters,"125,995","108,700","8,065","1,240","15,045","1,865","2,740","14,605","5,835",765,"6,125","1,110","3,000","2,810","1,555","11,490","6,020","1,620","6,205","11,090","7,525",350,"1,785","2,115","2,100",850,640,"1,340",50,530,"2,225","2,005",330,65,"2,905"
education_university_doctoral,"24,605","20,735","1,310",165,"3,870",275,460,"3,460",840,125,790,175,"1,050",540,160,"1,755","1,075",275,"1,010","2,130","1,270",150,385,465,410,175,105,300,0,160,510,385,90,30,705
mean_houseHoldIncome_2015,"76,614","69,047","70,105","68,930","67,274","69,331","64,044","66,541","65,857","115,013","60,310","51,774","176,840","86,557","75,496","64,220","80,737","64,380","85,120","72,159","53,940","171,390","187,173","94,570","102,104","89,952","250,497","144,676","58,594","159,374","205,309","100,294","102,969","203,790","295,099"
median_houseHoldIncome_2015,"52,516","50,172","51,169","53,930","45,615","52,722","51,793","47,861","48,862","81,478","48,303","42,586","85,204","70,046","62,868","48,278","57,794","51,734","55,516","41,088","43,340","119,808","124,810","59,012","79,485","65,091","122,266","115,257","50,432","113,664","109,813","80,444","67,072","112,633","100,247"
houseHoldIncome_2015_less5K,"23,960","22,395","1,285",150,"3,280",245,640,"3,260",825,85,"1,100",400,230,295,320,"1,520","1,000",445,720,"5,125","1,475",25,65,315,185,140,25,55,30,25,160,160,70,15,305
houseHoldIncome_2015_5K_10K,"21,665","20,705","1,555",225,"2,810",470,690,"2,385","1,200",60,"1,735",920,150,230,435,"1,895",610,475,635,"2,170","2,055",10,20,230,125,140,25,50,55,15,60,70,55,0,115
houseHoldIncome_2015_10K_15K,"38,540","36,825","2,815",435,"4,070",975,"1,135","3,330","2,330",160,"3,635","1,875",195,525,"1,015","3,975","1,090",840,"1,410","3,495","3,525",20,45,405,245,180,35,30,75,35,120,205,85,0,230
houseHoldIncome_2015_15K_20K,"54,000","51,100","3,770","1,110","5,435","1,235","1,850","3,980","2,870",205,"4,490","2,785",275,900,"1,900","5,245","1,840","1,610","2,020","4,110","5,460",30,110,770,460,270,55,75,90,35,180,430,75,10,330
houseHoldIncome_2015_20K_25K,"50,385","47,075","3,490","1,105","5,075","1,280","1,960","3,050","2,450",285,"4,185","2,910",275,910,"2,050","4,735","1,810","1,925","1,905","3,065","4,620",10,65,760,650,410,65,135,140,35,245,460,80,10,250
houseHoldIncome_2015_25K_30K,"44,515","41,740","3,070","1,030","4,245",950,"1,805","2,800","2,145",235,"3,795","2,670",275,"1,030","1,695","4,155","1,840","1,630","1,555","2,490","4,325",15,100,560,550,330,65,90,75,45,185,420,70,10,265
houseHoldIncome_2015_30K_35K,"44,830","41,760","3,155","1,190","4,050","1,055","1,790","2,540","2,030",300,"3,755","2,285",290,"1,125","2,130","3,975","1,950","1,785","1,760","2,425","4,185",0,135,675,605,410,60,145,95,50,220,370,70,10,225
houseHoldIncome_2015_35K_40K,"47,865","44,505","3,320","1,175","4,160","1,115","2,090","2,780","2,265",275,"4,335","2,470",280,"1,105","2,295","4,385","1,830","2,295","1,755","2,360","4,210",30,115,695,670,435,95,150,135,45,215,435,85,0,250
houseHoldIncome_2015_40K_45K,"45,820","42,480","3,410","1,080","4,010","1,100","1,905","2,715","2,145",220,"3,965","2,345",325,"1,050","2,155","4,055","1,955","1,955","1,815","2,345","3,935",25,185,610,670,465,80,145,105,50,205,480,55,0,250
houseHoldIncome_2015_45K_50K,"43,170","39,855","2,990","1,105","3,605","1,020","2,075","2,530","1,960",255,"3,620","2,110",310,"1,205","2,125","3,780","1,775","1,890","1,635","2,175","3,700",30,170,715,705,340,80,180,50,55,190,475,95,15,215
houseHoldIncome_2015_50K_60K,"77,445","71,200","5,485","1,955","6,290","1,850","3,450","4,530","3,515",525,"6,310","3,550",640,"2,245","4,075","6,670","3,745","3,440","3,000","3,570","6,355",85,355,"1,125","1,310",730,130,300,180,110,415,870,125,35,480
houseHoldIncome_2015_60K_70K,"63,350","57,280","4,540","1,575","5,210","1,410","2,790","3,665","2,870",405,"5,030","2,685",615,"2,050","3,540","5,200","2,840","2,710","2,570","2,895","4,685",75,330,970,"1,350",705,120,400,135,95,335,980,135,25,425
houseHoldIncome_2015_70K_80K,"52,470","47,570","3,500","1,335","4,030","1,175","2,125","3,255","2,375",390,"4,445","2,095",525,"1,845","3,070","4,410","2,505","2,080","2,135","2,510","3,755",65,290,635,"1,160",485,100,310,160,100,345,805,100,10,350
houseHoldIncome_2015_80K_90K,"42,925","38,100","2,880","1,070","3,305","1,065","1,775","2,590","1,895",345,"3,355","1,500",465,"1,550","2,640","3,350","2,050","1,610","1,715","2,025","2,895",70,325,660,"1,165",525,95,325,105,75,305,730,85,25,330
houseHoldIncome_2015_90K_100K,"35,520","31,190","2,460",745,"2,460",870,"1,465","2,165","1,665",420,"2,880","1,035",430,"1,430","2,330","2,730","1,495","1,405","1,420","1,550","2,215",85,320,540,"1,025",405,85,415,55,65,225,745,60,10,300
houseHoldIncome_2015_100K_125K,"62,135","53,460","3,895","1,415","4,085","1,525","2,540","3,830","2,575",750,"4,485","1,710",790,"2,660","4,505","5,060","2,865","2,110","2,495","2,695","3,475",130,700,"1,035","1,805",825,145,810,120,170,595,"1,515",195,30,590
houseHoldIncome_2015_125K_150K,"39,645","32,835","2,295",815,"2,705",930,"1,400","2,490","1,715",575,"2,625",855,570,"1,900","2,655","2,960","1,905","1,075","1,660","1,830","1,875",125,690,755,"1,485",535,150,740,70,165,450,"1,005",125,25,485
houseHoldIncome_2015_150K_200K,"39,300","31,070","2,610",720,"2,775",905,"1,160","2,470","1,465",620,"2,295",570,745,"1,860","2,370","2,790","1,955",960,"1,600","1,830","1,365",195,940,785,"1,450",560,240,905,45,220,695,"1,295",175,40,690
houseHoldIncome_2015_200KPlus,"42,820","28,655","2,465",565,"3,410",745,635,"2,345","1,210",820,950,265,"1,795","1,455","1,145","2,135","2,315",690,"2,180","2,775",770,315,"1,700","1,270","1,600",505,835,"1,415",20,470,"2,220",925,200,90,"2,590"